"Código do Produto (60)","Tipo (Produto/Servico)","Nome do Produto (120)",Fornecedor,"ID Fornecedor","Marca (25)","Estoque Mínimo","Estoque Máximo","Estoque Atual","Unidade (06)","Produto Variado (Sim/Não)","Valor Venda (Tabela Padrão)","Valor Custo",Peso,"Peso Liq.",ICMS,IPI,PIS,COFINS,"Unidade tributável","Código Benefício Fiscal","Código CEST","NCM (8)","Origem (0 a 8)","Numero da ordem","Código de Barras (GTIN-8,12,13,14)","Tipo Class. (Fiscal)",Observações,"ID Categoria","ID Subcategoria","Situação (Ativo/Inativo)",Tamanho,"Localização no Estoque"
1453,Produto,"ADAPTADOR INTERNO R/E 3/4 X 1/2 PLASBO#","TORK FERRAMENTAS E UTILIDADES LTDA",38321485,,"0,00","0,00","0,00",un,Não,"3,36","1,50","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7897203424084,,,340852,,Ativo,,
53010407,Produto,"ADESIVO AGUA QUENTE C/PINCEL 175G CB","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"67,36","39,99","0,00","0,00","0,00","0,00","0,00","0,00",,,,35061090,0,,7899349146431,,,335309,,Ativo,,
600000,Produto,"ADESIVO PVC 850G","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"69,82","41,45","0,00","0,00","0,00","0,00","0,00","0,00",,,,35069110,0,,7898338990802,,,335309,,Ativo,,
53020178,Produto,"ADESIVO PVC 850G","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"85,32","37,99","0,00","0,00","0,00","0,00","0,00","0,00",,,,35061090,0,,7899052589846,,,335309,,Ativo,,
53020119,Produto,"ADESIVO PVC 850G AZUL","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"117,90","69,99","0,00","0,00","0,00","0,00","0,00","0,00",,,,35061090,0,,7897613336854,,,335309,,Ativo,,
91387,Produto,"ADESIVO PVC EXTRA FORTE 850G","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"129,54","69,99","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,7891960731416,,,335309,,Ativo,,
APE0001,Produto,"ADESIVO PVC EXTRA FORTE 850G AMANCO",,0,AMANCO,"0,00","0,00","0,00",UN,Não,"95,34","56,60","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,,10,,335309,,Ativo,850G,
,Produto,"AGUA MIN ANTARES C/ GAS","MARTINS E MARTINS NETO LTDA",39756475,,"0,00","0,00","12,00",un,Não,"1,49","1,49","0,00","0,00","0,00","0,00","0,00","0,00",,,,22011000,0,,7896718701338,07,,347054,,Ativo,,
119911,Produto,"AGUA MIN ANTARES C/ GAS","MARTINS E MARTINS NETO LTDA",39756475,,"0,00","0,00","12,00",un,Não,"1,49","1,49","0,00","0,00","0,00","0,00","0,00","0,00",,,,22011000,0,,7896718701338,07,,347054,,Ativo,,
00209,Produto,"ALICATE AMPERIMETRO DIGITAL ET-3200 - MINIPA","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","1,00",un,Não,"161,88","161,88","0,00","0,00","0,00","0,00","0,00","0,00",,,,90303100,0,,7898975442115,07,,347054,,Ativo,,
23384,Produto,"ALICATE CORTE DESENCAPA CABOS 7","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","2,00",un,Não,"49,68","53,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,82032010,0,,7893946552121,07,,347054,,Ativo,,
28945,Produto,"ALICATE DESENCAPADOR FIO E CORTE AD-180 - VONDER","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","1,00",un,Não,"98,00","98,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,82032010,0,,7893946826710,07,,347054,,Ativo,,
37051004,Produto,"ANEL ESGOTO 100MM","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"7,00","3,11","0,00","0,00","0,00","0,00","0,00","0,00",,,,40169300,0,,7897613336236,,,377665,,Ativo,,
75379,Produto,"ANTICORROSIVO SPRAY 250ML","AGRO FERRAGENS LUIZAO LTDA",37390798,,"0,00","0,00","1,00",un,Não,"6,18","6,18","0,00","0,00","0,00","0,00","0,00","0,00",,,,38249941,0,,7898693158152,07,,347054,,Ativo,,
74961,Produto,"ARCO DE SERRA PARA METAIS 305MM","AGRO FERRAGENS LUIZAO LTDA",37390798,,"0,00","0,00","1,00",PC,Não,"73,24","73,24","0,00","0,00","0,00","0,00","1,65","7,60",,,,82021000,0,,7891504390055,07,,347054,,Ativo,,
636,Produto,"ARCO SERRA FIXO 12 - STARRETT","TORK FERRAMENTAS E UTILIDADES LTDA",38321485,,"0,00","0,00","1,00",un,Não,"69,00","69,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,82021000,0,,7891265121844,07,,347054,,Ativo,,
